subdomain,http_status,https_status,active,redirects_to,server,technologies,ip_address,dns_active,ip_addresses
www.google.com,200,200,True,https://www.google.com/,gws,[],,True,142.251.223.4
mail.google.com,200,200,True,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AdBytiPcFZdPXXCTBk3QAUwpBZqzU4RoGILgFxZumi7z3NvKOrbwmiy9F6zRW3rslc71uOcOlBc4Wg&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1006012614%3A1752595493833173,ESF,[],,True,142.250.182.69
ftp.google.com,,,False,,,[],,False,
admin.google.com,200,200,True,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fadmin.google.com%2F&followup=https%3A%2F%2Fadmin.google.com%2F&ifkv=AdBytiPXvlMrRZVp3cdIYTz5vad8odUCnWH6_EYVod5ksqHHPcwP1AzwfB-pO1a_FCuJJo3WD4tUVg&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1492387693%3A1752595500883206,ESF,[],,True,142.251.223.14
api.google.com,404,404,True,https://api.google.com/,,[],,True,142.251.43.132
app.google.com,,,False,,,[],,False,
dev.google.com,,,False,,,[],,False,
test.google.com,,,False,,,[],,False,
staging.google.com,,,False,,,[],,False,
blog.google.com,200,200,True,https://blog.google/,Google Frontend,[],,True,172.217.24.9
shop.google.com,200,200,True,https://www.google.com/shopping,gws,[],,True,142.251.10.92
store.google.com,200,,True,https://store.google.com/?hl=en-IN,ESF,[],,True,142.250.206.46
forum.google.com,,,False,,,[],,False,
support.google.com,200,200,True,https://support.google.com/,support-content-ui,[],,True,142.251.223.14
help.google.com,200,200,True,https://support.google.com/,support-content-ui,[],,True,142.251.222.174
docs.google.com,200,200,True,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fdocs.google.com%2F&emr=1&followup=https%3A%2F%2Fdocs.google.com%2F&ifkv=AdBytiOIhOYYDSlzNtvnzKfDi284XXny-CXbV7iW6EgzsmNcOdqxUtphHZExTLWUWDJ5J4f5t5UIWA&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-215086238%3A1752595491998745,ESF,[],,True,142.250.67.46
cdn.google.com,,,False,,,[],,False,
static.google.com,,,False,,,[],,False,
assets.google.com,,,False,,,[],,False,
images.google.com,200,200,True,https://images.google.com/,gws,[],,True,142.250.183.174
media.google.com,,,False,,,[],,False,
files.google.com,200,200,True,https://files.google.com/,sffe,[],,True,142.250.206.46
download.google.com,404,404,True,https://download.google.com/,,[],,True,142.250.77.132
uploads.google.com,,,False,,,[],,True,108.170.217.160
google.com,200,200,True,https://www.google.com/,gws,[],,True,142.251.221.110
