subdomain,http_status,https_status,active,redirects_to,server,technologies,ip_address,dns_active,ip_addresses
srkrcodingclub.in,200,200,True,https://www.srkrcodingclub.in/,Vercel,[],,True,76.76.21.21
srkrcodingclub.in,200,200,True,https://www.srkrcodingclub.in/,Vercel,[],,True,76.76.21.21
www.srkrcodingclub.in,200,200,True,https://www.srkrcodingclub.in/,Vercel,[],,True,76.76.21.21
ns72.domaincontrol.com,,,False,,,[],,True,173.201.73.46
ns72.domaincontrol.com,,,False,,,[],,True,173.201.73.46
ns71.domaincontrol.com,,,False,,,[],,True,97.74.105.46
ns71.domaincontrol.com,,,False,,,[],,True,97.74.105.46
173.201.64.0/20,,,False,,,[],,False,
97.74.96.0/20,,,False,,,[],,False,
2603:5:2100::/40,,,False,,,[],,False,
44273,,,False,,,[],,False,
44273,,,False,,,[],,False,
44273,,,False,,,[],,False,
44273,,,False,,,[],,False,
76.76.21.0/24,,,False,,,[],,False,
2603:5:2290::/44,,,False,,,[],,False,
16509,,,False,,,[],,False,
16509,,,False,,,[],,False,
44273,,,False,,,[],,False,
44273,,,False,,,[],,False,
