subdomain,http_status,https_status,active,redirects_to,server,technologies,ip_address,dns_active,ip_addresses
www.vercel.app,200,200,True,https://vercel.com,Vercel,[],,True,"216.198.79.3, 64.29.17.3"
mail.vercel.app,200,200,True,https://mail.vercel.app/,Vercel,[],,True,"216.198.79.131, 64.29.17.131"
ftp.vercel.app,200,200,True,https://ftp.vercel.app/,Vercel,[],,True,"64.29.17.195, 216.198.79.195"
admin.vercel.app,200,200,True,https://admin.vercel.app/,Vercel,[],,True,"64.29.17.195, 216.198.79.195"
api.vercel.app,200,200,True,https://api.vercel.app/,Vercel,[],,True,"64.29.17.67, 216.198.79.67"
app.vercel.app,200,200,True,https://app.vercel.app/,Vercel,[],,True,"216.198.79.67, 64.29.17.67"
dev.vercel.app,200,200,True,https://dev.vercel.app/,Vercel,[],,True,"64.29.17.67, 216.198.79.67"
test.vercel.app,200,200,True,https://nexion.xyz/,cloudflare,[],,True,"64.29.17.67, 216.198.79.67"
staging.vercel.app,200,200,True,https://staging.vercel.app/,Vercel,[],,True,"64.29.17.195, 216.198.79.195"
blog.vercel.app,200,200,True,https://blog.vercel.app/,Vercel,[],,True,"216.198.79.67, 64.29.17.67"
shop.vercel.app,200,200,True,https://shop.vercel.app/,Vercel,[],,True,"64.29.17.131, 216.198.79.131"
store.vercel.app,200,200,True,https://store.vercel.app/,Vercel,[],,True,"216.198.79.131, 64.29.17.131"
forum.vercel.app,404,404,True,https://forum.vercel.app/,Vercel,[],,True,"64.29.17.67, 216.198.79.67"
support.vercel.app,200,200,True,https://support.vercel.app/,Vercel,[],,True,"216.198.79.195, 64.29.17.195"
help.vercel.app,401,401,True,https://help.vercel.app/,Vercel,[],,True,"64.29.17.67, 216.198.79.67"
docs.vercel.app,,,False,,,[],,True,"216.198.79.67, 64.29.17.67"
cdn.vercel.app,404,404,True,https://cdn.vercel.app/,Vercel,[],,True,"216.198.79.67, 64.29.17.67"
static.vercel.app,200,200,True,https://static.vercel.app/,Vercel,[],,True,"216.198.79.131, 64.29.17.131"
assets.vercel.app,404,404,True,https://assets.vercel.app/,Vercel,[],,True,"64.29.17.131, 216.198.79.131"
images.vercel.app,404,404,True,https://images.vercel.app/,Vercel,[],,True,"216.198.79.195, 64.29.17.195"
media.vercel.app,200,200,True,https://media.vercel.app/,Vercel,[],,True,"64.29.17.67, 216.198.79.67"
files.vercel.app,200,200,True,https://files.vercel.app/,Vercel,[],,True,"64.29.17.3, 216.198.79.3"
download.vercel.app,200,200,True,https://download.vercel.app/,Vercel,[],,True,"216.198.79.3, 64.29.17.3"
uploads.vercel.app,404,404,True,https://uploads.vercel.app/,Vercel,[],,True,"216.198.79.195, 64.29.17.195"
vercel.app,200,200,True,https://vercel.com,Vercel,[],,True,"64.29.17.195, 216.198.79.195"
